Wall time,Step,Value
1574441678.6631675,85035,1285.6505126953125
1574441678.663287,85037,1005.6109619140625
1574441678.6637843,85045,929.7357788085938
1574441678.6639018,85047,942.544189453125
1574441678.6639667,85048,985.4267578125
1574441703.5918484,86008,1134.4139404296875
1574441703.5920174,86010,931.8921508789062
1574441703.5926783,86020,959.4051513671875
1574441703.5928736,86023,789.320068359375
1574441703.5935888,86034,860.2039184570312
1574441703.5937834,86037,818.6845703125
1574441703.5939128,86039,940.736083984375
1574441703.5940425,86041,963.5917358398438
1574441728.5754347,87000,984.3703002929688
1574441728.5765214,87017,948.0226440429688
1574441728.577498,87032,912.1383666992188
1574441728.5778866,87038,876.6547241210938
1574441728.578338,87045,910.4105834960938
1574441753.1201832,88000,1076.8521728515625
1574441753.1202574,88004,929.63427734375
1574441753.1207364,88011,910.7230224609375
1574441753.1207993,88012,976.2457275390625
1574441753.1208613,88013,929.6475219726562
1574441753.1215112,88023,954.861572265625
1574441753.122772,88044,1044.52783203125
1574441753.1230726,88049,783.5848388671875
1574441777.55625,89001,1045.001953125
1574441777.5563555,89007,1072.7369384765625
1574441777.5571766,89017,829.0731201171875
1574441777.5574787,89022,852.1506958007812
1574441777.557841,89028,1205.222412109375
1574441777.5580814,89032,820.830078125
1574441777.5581417,89033,885.1953735351562
1574441777.5586257,89041,956.5487060546875
1574441777.558822,89044,910.7717895507812
1574441777.5588827,89045,1000.4884643554688
1574441777.5590026,89047,837.86865234375
1574441777.559182,89050,1219.9970703125
1574441802.115359,90006,700.654541015625
1574441802.1155593,90009,833.2135009765625
1574441802.1156468,90010,903.495849609375
1574441802.1157722,90012,812.8857421875
1574441802.1158938,90014,906.6690673828125
1574441802.1160753,90017,968.8773193359375
1574441802.1161356,90018,900.2910766601562
1574441802.1164966,90024,872.4624633789062
1574441802.116857,90030,934.9517822265625
1574441802.116977,90032,825.2883911132812
1574441802.1171749,90035,728.430908203125
1574441827.800429,91002,1103.552978515625
1574441827.800465,91004,1098.532470703125
1574441827.8014379,91017,981.167236328125
1574441827.8021724,91029,925.7169189453125
1574441827.8033464,91048,972.684814453125
1574441827.8034704,91050,895.3570556640625
1574441852.7133622,92013,996.6104125976562
1574441852.713541,92016,871.3926391601562
1574441852.7136602,92018,1081.228515625
1574441852.7137196,92019,839.4164428710938
1574441852.7149103,92038,929.2446899414062
1574441877.0616283,93009,993.297119140625
